Sample,Vector,Kanamycin_Resistance,GUS_Staining
1,pSSK6A,1,0
2,pSSK6A,1,1
3,pSSK6A,1,1
4,pSSK6A,1,0
5,pSSK6A,1,1
6,pSSK6A,1,0
7,pSSK6A,1,1
8,pSSK6A,1,1
9,pSSK6A,1,1
10,pSSK6A,1,1
11,pSSK6A,1,1
12,pSSK6A,1,1
13,pSSK6A,1,0
14,pSSK6A,1,1
15,pSSK6A,1,1
16,pSSK6A,1,1
17,pSSK6A,1,0
18,pSSK6A,0,0
19,pSSK6A,1,1
20,pSSK6A,1,1
21,pSSK6A,1,1
22,pSSK6A,1,0
23,pSSK6A,1,1
24,pSSK6A,1,1
25,pSSK6A,1,1
26,pSSK6A,0,0
27,pSSK6A,0,0
28,pSSK6A,1,0
29,pSSK6A,1,1
30,pSSK6A,1,1
31,pSSK6A,1,1
32,pSSK6A,1,1
33,pSSK6A,1,1
34,pSSK6A,1,0
35,pSSK6A,1,0
36,pSSK6A,1,1
37,pSSK6A,1,0
38,pSSK6A,1,1
39,pSSK6A,1,1
40,pSSK6A,1,1
41,pSSK6A,0,1
42,pSSK6A,1,1
43,pSSK6A,1,1
44,pSSK6A,1,1
45,pSSK6A,0,1
46,pSSK6A,1,1
47,pSSK6A,1,1
48,pSSK6A,1,1
49,pSSK6A,1,1
50,pSSK6A,1,1
51,pSSK6A,1,1
52,pSSK6A,1,1
53,pSSK6A,0,1
54,pSSK6A,1,0
55,pSSK6A,1,1
56,pSSK6A,1,1
57,pSSK6A,0,0
58,pSSK6A,1,0
59,pSSK6A,1,1
60,pSSK6A,0,1
61,pSSK6A,1,0
62,pSSK6A,1,1
63,pSSK6A,1,1
64,pSSK6A,1,0
65,pSSK6A,1,1
66,pSSK6A,1,1
67,pSSK6A,1,1
68,pSSK6A,0,1
69,pSSK6A,1,1
70,pSSK6A,1,0
71,pSSK6A,0,1
72,pSSK6A,1,1
73,pSSK6A,1,1
74,pSSK6A,1,1
75,pSSK6A,1,1
76,pSSK6A,0,1
77,pSSK6A,1,1
78,pSSK6A,0,1
79,pSSK6A,1,0
80,pSSK6A,1,1
81,pSSK6A,1,1
82,pSSK6A,1,1
83,pSSK6A,1,0
84,pSSK6A,1,1
85,pSSK6A,1,1
86,pSSK6A,1,1
87,pSSK6A,1,1
88,pSSK6A,1,1
89,pSSK6A,1,1
90,pSSK6A,0,1
91,pSSK6A,1,1
92,pSSK6A,0,0
93,pSSK6A,1,1
94,pSSK6A,1,1
95,pSSK6A,1,1
96,pSSK6A,1,0
97,pSSK6A,0,1
98,pSSK6A,1,1
99,pSSK6A,1,0
100,pSSK6A,0,0
1,pCAMBIA2301,1,1
2,pCAMBIA2301,1,0
3,pCAMBIA2301,1,1
4,pCAMBIA2301,1,1
5,pCAMBIA2301,1,1
6,pCAMBIA2301,1,1
7,pCAMBIA2301,1,1
8,pCAMBIA2301,1,1
9,pCAMBIA2301,1,1
10,pCAMBIA2301,1,0
11,pCAMBIA2301,1,1
12,pCAMBIA2301,1,1
13,pCAMBIA2301,1,1
14,pCAMBIA2301,0,1
15,pCAMBIA2301,1,1
16,pCAMBIA2301,1,1
17,pCAMBIA2301,1,1
18,pCAMBIA2301,1,1
19,pCAMBIA2301,1,1
20,pCAMBIA2301,1,1
21,pCAMBIA2301,0,0
22,pCAMBIA2301,0,1
23,pCAMBIA2301,1,0
24,pCAMBIA2301,1,0
25,pCAMBIA2301,0,0
26,pCAMBIA2301,1,1
27,pCAMBIA2301,1,1
28,pCAMBIA2301,1,1
29,pCAMBIA2301,0,1
30,pCAMBIA2301,1,1
31,pCAMBIA2301,1,0
32,pCAMBIA2301,1,1
33,pCAMBIA2301,1,1
